umap1,umap2,cell_type,sample,annotation_source
-5.6357775,3.0009854,Il1b+ TAM,E14S,transferred
2.5084348,11.877561,C1qc+ TAM,E14S,transferred
0.07671623,-5.534164,Neutrophil,E14S,transferred
-3.1896546,4.052262,Monocyte,E14S,transferred
-3.399543,2.230494,Il1b+ TAM,E14S,transferred
-5.601214,2.3040216,Il1b+ TAM,E14S,transferred
-4.092951,3.749857,Il1b+ TAM,E14S,transferred
-4.7233677,3.1806407,Monocyte,E14S,transferred
16.376394,7.0499425,Hypoxic Tumor,E14S,transferred
-3.7534006,0.37078694,Spp1+ TAM,E14S,transferred
-0.16227278,1.0117546,Monocyte,E14S,transferred
0.7193702,5.5577073,cDC,E14S,transferred
-2.4808059,3.5100396,Monocyte,E14S,transferred
24.36838,4.249511,CAF,E14S,transferred
-3.7635396,6.642515,C1qc+ TAM,E14S,transferred
-6.736858,1.4870889,C1qc+ TAM,E14S,transferred
-4.3488936,4.636363,Il1b+ TAM,E14S,transferred
-4.30574,4.567763,C1qc+ TAM,E14S,transferred
3.0859208,12.680099,Resident Macrophage,E14S,transferred
-3.106262,1.6180031,Il1b+ TAM,E14S,transferred
16.545954,8.084895,Hypoxic Tumor,E14S,transferred
-6.6440725,3.4955158,C1qc+ TAM,E14S,transferred
-3.608137,4.4401326,Il1b+ TAM,E14S,transferred
-4.0892572,6.4697485,Resident Macrophage,E14S,transferred
-5.4112635,1.1006707,Spp1+ TAM,E14S,transferred
-1.16983,1.6631554,Monocyte,E14S,transferred
-3.788829,2.2904994,Il1b+ TAM,E14S,transferred
2.8841252,12.136926,cDC,E14S,transferred
0.8846213,-8.92052,Neutrophil,E14S,transferred
-3.9815133,5.230913,C1qc+ TAM,E14S,transferred
16.989687,6.5421085,Hypoxic Tumor,E14S,transferred
0.47515857,1.1666255,Monocyte,E14S,transferred
3.3608756,12.5121975,Regulatory CD8 T,E14S,transferred
-4.687856,1.9588393,Il1b+ TAM,E14S,transferred
-2.653925,2.0819116,Monocyte,E14S,transferred
0.3692558,-8.172783,Neutrophil,E14S,transferred
-4.7479286,1.5960683,Spp1+ TAM,E14S,transferred
2.9444914,12.152411,CD4 T,E14S,transferred
-6.6302705,1.8773743,Spp1+ TAM,E14S,transferred
0.7331611,0.5850212,Monocyte,E14S,transferred
0.3255677,-5.7453055,Neutrophil,E14S,transferred
2.6413088,12.11623,Resident Macrophage,E14S,transferred
-3.8039103,3.0440516,Il1b+ TAM,E14S,transferred
23.931662,4.6814275,Tumor Proliferating,E14S,transferred
-6.5357814,2.0316317,Resident Macrophage,E14S,transferred
3.2491136,12.695816,CD8 Terminally Exhausted,E14S,transferred
-1.5977443,2.701732,Monocyte,E14S,transferred
-5.48404,2.509961,Resident Macrophage,E14S,transferred
0.55624104,0.9247324,Monocyte,E14S,transferred
-1.8910114,3.9220455,Resident Macrophage,E14S,transferred
-6.0913463,3.9391978,C1qc+ TAM,E14S,transferred
-2.7882357,2.7274265,Monocyte,E14S,transferred
0.4511552,-5.7074566,Neutrophil,E14S,transferred
-2.0757294,3.6341605,Monocyte,E14S,transferred
-0.58127445,1.6499025,Monocyte,E14S,transferred
3.059193,12.434416,CD8 Terminally Exhausted,E14S,transferred
-5.671246,2.1430516,Resident Macrophage,E14S,transferred
-4.637391,2.0926116,Il1b+ TAM,E14S,transferred
-1.9204367,4.598644,Resident Macrophage,E14S,transferred
-1.2313193,2.7984226,Monocyte,E14S,transferred
-5.559696,2.980379,Resident Macrophage,E14S,transferred
-5.2989984,1.6699258,Spp1+ TAM,E14S,transferred
-4.886444,2.58136,Resident Macrophage,E14S,transferred
