sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E14S,CD8_exh,CD8_exh,0.0,0.9324154592726023,0.0,2.547188888074723e-126,198,198
E14S,CD8_exh,NK,0.7635735065621401,0.8596508881649358,0.8882367447931235,0.1136531278673437,198,253
E14S,CD8_exh,Monocyte,0.28830897558298907,0.2781776614609025,1.0364203008569417,0.9403611093812301,198,1163
E14S,CD8_exh,Hypoxic_Tumor,1.064736349427229,0.9433393268631971,1.1286886055813052,0.06785445121709911,198,226
E14S,CD8_exh,Tumor,1.0802478234204163,1.015305085399349,1.0639637671030904,0.03692505346939581,198,155
E14S,CD8_exh,hypoxic_core_dyn,1.7260948320337084,1.670442101775453,1.0333161683359777,0.19708919363847288,198,64
E14S,CD8_exh,exit_front,1.4633227472646029,1.2984948653599164,1.1269376462717082,0.06339664738367827,198,81
E14S,CD8_exh,enter_front,1.4868190543764819,1.2926716044660873,1.1501908522161615,0.022210282577780644,198,100
E14S,Neutrophil,Spp1_TAM,0.894446125614887,0.8482947164896124,1.0544049234636954,0.08373133484541602,495,260
E14S,Neutrophil,C1qc_TAM,0.5009382815435224,0.4608415284560032,1.087007681842083,0.019617752801453888,495,525
E14S,Neutrophil,Il1b_TAM,0.36276360236637345,0.33889846553992586,1.070419725236661,0.307611556286967,495,850
E14S,Neutrophil,Neutrophil,0.0,0.5325087742970994,0.0,1.020760041290693e-294,495,495
E14S,Neutrophil,CAF,3.332218142967991,3.705102703107452,0.8993591838016461,0.2360482775009909,495,10
E14S,Neutrophil,Stromal,2.401458161887259,2.1862506648887328,1.098436789730824,0.00595179068137553,495,30
E14S,Neutrophil,CD8_exh,0.9980786972013184,0.9220620181422426,1.082442045722947,0.011369731130853284,495,198
E14S,Neutrophil,NK,0.8781862796574167,0.8534262647400164,1.0290124829061162,0.18536673130161385,495,253
E14S,Neutrophil,Monocyte,0.3052316496038996,0.2743930314087428,1.1123884890109281,0.008633873269783288,495,1163
E14S,Neutrophil,Hypoxic_Tumor,0.9685102683513735,0.9428283498704589,1.0272392302209021,0.48972069006694474,495,226
E14S,Neutrophil,Tumor,1.0111598680043965,1.019387229618041,0.9919291105729005,0.935176110024811,495,155
E14S,Neutrophil,hypoxic_core_dyn,1.6755947226239323,1.6767846040412089,0.9992903790895927,0.8296405283201422,495,64
E14S,Neutrophil,exit_front,1.3300782179232908,1.299841755737459,1.023261648621741,0.7173081821684753,495,81
E14S,Neutrophil,enter_front,1.2924323264906887,1.3003628112273526,0.9939013291766021,0.9373136916476806,495,100
E14S,NK,Spp1_TAM,0.8905290353817873,0.8510214674047902,1.0464237031499055,0.02851853776845323,253,260
E14S,NK,C1qc_TAM,0.5142253239278124,0.46084152845600357,1.1158398108145007,0.032255090909085356,253,525
E14S,NK,Il1b_TAM,0.3669981682778983,0.34111769040785433,1.075869644400735,0.20065073110643006,253,850
