source,target,hit_rate,null_mean,enrichment,p_perm,radius,sample
NK,CD8_exhausted,0.30434782608695654,0.27594202898550724,1.1029411764705883,0.3576158940397351,0.5159616291765426,E14S
NK,cDC,0.2648221343873518,0.24895915678524375,1.0637171888230315,0.6556291390728477,0.5159616291765426,E14S
NK,mDC,0.21739130434782608,0.2427667984189723,0.8954737870400522,0.32450331125827814,0.5159616291765426,E14S
NK,entering_hypoxia,0.11462450592885376,0.12945981554677208,0.885406065540403,0.5629139072847682,0.5159616291765426,E14S
NK,exiting_hypoxia,0.1225296442687747,0.12982872200263504,0.9437791759691496,0.7549668874172185,0.5159616291765426,E14S
CD8_exhausted,Monocyte,0.797979797979798,0.7656228956228956,1.0422621927085625,0.31788079470198677,0.5159616291765426,E14S
CD8_exhausted,Il1bpos_TAM,0.6111111111111112,0.6822895622895623,0.8956770627714173,0.0728476821192053,0.5159616291765426,E14S
CD8_exhausted,Resident_Macrophage,0.6262626262626263,0.6157912457912458,1.0170047569577343,0.7880794701986755,0.5159616291765426,E14S
CD8_exhausted,C1qcpos_TAM,0.494949494949495,0.5376094276094276,0.920648838228847,0.2582781456953642,0.5159616291765426,E14S
CD8_exhausted,Neutrophil,0.43434343434343436,0.5209427609427609,0.8337642192347468,0.026490066225165563,0.5159616291765426,E14S
CD8_exhausted,Spp1pos_TAM,0.3282828282828283,0.34208754208754216,0.9596456692913384,0.7417218543046358,0.5159616291765426,E14S
CD8_exhausted,NK,0.35353535353535354,0.33367003367003367,1.0595358224016145,0.5960264900662252,0.5159616291765426,E14S
CD8_exhausted,cDC,0.2222222222222222,0.25585858585858584,0.8685353335965259,0.33774834437086093,0.5159616291765426,E14S
CD8_exhausted,mDC,0.18181818181818182,0.24797979797979802,0.7331975560081465,0.052980132450331126,0.5159616291765426,E14S
CD8_exhausted,entering_hypoxia,0.08080808080808081,0.1262962962962963,0.6398293788323114,0.052980132450331126,0.5159616291765426,E14S
CD8_exhausted,exiting_hypoxia,0.13636363636363635,0.1313131313131313,1.0384615384615385,0.8211920529801324,0.5159616291765426,E14S
cDC,Monocyte,0.7444444444444445,0.7590370370370371,0.9807748609349077,0.5827814569536424,0.5159616291765426,E14S
cDC,Il1bpos_TAM,0.6777777777777778,0.6828518518518518,0.9925692900146446,0.9139072847682119,0.5159616291765426,E14S
cDC,Resident_Macrophage,0.6388888888888888,0.6105925925925927,1.0463423510857695,0.423841059602649,0.5159616291765426,E14S
cDC,C1qcpos_TAM,0.5444444444444444,0.5383333333333333,1.0113519091847265,0.9139072847682119,0.5159616291765426,E14S
cDC,Neutrophil,0.49444444444444446,0.5168148148148147,0.956714920452917,0.4966887417218543,0.5159616291765426,E14S
cDC,Spp1pos_TAM,0.3277777777777778,0.3444814814814815,0.9515105902591119,0.6026490066225165,0.5159616291765426,E14S
cDC,NK,0.29444444444444445,0.32248148148148154,0.9130584587113815,0.41721854304635764,0.5159616291765426,E14S
cDC,CD8_exhausted,0.25555555555555554,0.2746666666666666,0.9304207119741101,0.6357615894039735,0.5159616291765426,E14S
cDC,mDC,0.20555555555555555,0.24266666666666667,0.8470695970695971,0.33112582781456956,0.5159616291765426,E14S
cDC,entering_hypoxia,0.12777777777777777,0.12511111111111112,1.0213143872113675,1.0,0.5159616291765426,E14S
cDC,exiting_hypoxia,0.15555555555555556,0.12840740740740741,1.2114219786558984,0.37748344370860926,0.5159616291765426,E14S
mDC,Monocyte,0.7647058823529411,0.7667058823529411,0.9973914377781188,1.0,0.5159616291765426,E14S
mDC,Il1bpos_TAM,0.6529411764705882,0.6810588235294117,0.9587148039385042,0.46357615894039733,0.5159616291765426,E14S
mDC,Resident_Macrophage,0.5823529411764706,0.6099215686274511,0.95479971709638,0.5298013245033113,0.5159616291765426,E14S
mDC,C1qcpos_TAM,0.5705882352941176,0.5403529411764706,1.055954713694753,0.4370860927152318,0.5159616291765426,E14S
mDC,Neutrophil,0.4470588235294118,0.5224705882352941,0.8556631389326729,0.052980132450331126,0.5159616291765426,E14S
mDC,Spp1pos_TAM,0.3352941176470588,0.3443529411764706,0.9736932012299282,0.8145695364238411,0.5159616291765426,E14S
mDC,NK,0.34705882352941175,0.33149019607843133,1.046965574352301,0.6821192052980133,0.5159616291765426,E14S
mDC,CD8_exhausted,0.22941176470588234,0.27968627450980393,0.8202467750981491,0.09271523178807947,0.5159616291765426,E14S
mDC,cDC,0.22941176470588234,0.2530588235294117,0.9065550906555092,0.5496688741721855,0.5159616291765426,E14S
mDC,entering_hypoxia,0.11176470588235295,0.12862745098039213,0.8689024390243905,0.5695364238410596,0.5159616291765426,E14S
mDC,exiting_hypoxia,0.15294117647058825,0.1309019607843137,1.1683642899940085,0.48344370860927155,0.5159616291765426,E14S
entering_hypoxia,Monocyte,0.6666666666666666,0.7639506172839505,0.8726567550096962,0.09271523178807947,0.5159616291765426,E14S
entering_hypoxia,Il1bpos_TAM,0.5555555555555556,0.6890534979423869,0.8062589584328714,0.006622516556291391,0.5159616291765426,E14S
entering_hypoxia,Resident_Macrophage,0.5802469135802469,0.6173662551440328,0.9398746833755502,0.4900662251655629,0.5159616291765426,E14S
entering_hypoxia,C1qcpos_TAM,0.4074074074074074,0.545843621399177,0.7463811821471652,0.019867549668874173,0.5159616291765426,E14S
entering_hypoxia,Neutrophil,0.48148148148148145,0.5218106995884773,0.9227129337539434,0.5231788079470199,0.5159616291765426,E14S
entering_hypoxia,Spp1pos_TAM,0.20987654320987653,0.3401646090534979,0.6169852407452214,0.019867549668874173,0.5159616291765426,E14S
entering_hypoxia,NK,0.3333333333333333,0.334074074074074,0.9977827050997784,1.0,0.5159616291765426,E14S
entering_hypoxia,CD8_exhausted,0.2222222222222222,0.26823045267489704,0.8284749923289355,0.3576158940397351,0.5159616291765426,E14S
entering_hypoxia,cDC,0.2839506172839506,0.24962962962962962,1.1374876360039565,0.4966887417218543,0.5159616291765426,E14S
entering_hypoxia,mDC,0.1728395061728395,0.24502057613168726,0.7054081289889149,0.13245033112582782,0.5159616291765426,E14S
entering_hypoxia,exiting_hypoxia,0.2222222222222222,0.12716049382716046,1.747572815533981,0.019867549668874173,0.5159616291765426,E14S
exiting_hypoxia,Monocyte,0.654320987654321,0.7629629629629628,0.8576051779935276,0.033112582781456956,0.5159616291765426,E14S
exiting_hypoxia,Il1bpos_TAM,0.5555555555555556,0.6827160493827161,0.8137432188065099,0.019867549668874173,0.5159616291765426,E14S
exiting_hypoxia,Resident_Macrophage,0.6172839506172839,0.6111111111111112,1.01010101010101,1.0,0.5159616291765426,E14S
exiting_hypoxia,C1qcpos_TAM,0.4691358024691358,0.5394238683127572,0.869697894415624,0.2781456953642384,0.5159616291765426,E14S
exiting_hypoxia,Neutrophil,0.4691358024691358,0.5269135802469136,0.8903467666354263,0.2980132450331126,0.5159616291765426,E14S
exiting_hypoxia,Spp1pos_TAM,0.2222222222222222,0.3391769547325103,0.6551807813637466,0.033112582781456956,0.5159616291765426,E14S
exiting_hypoxia,NK,0.32098765432098764,0.33596707818930044,0.9554140127388534,0.7615894039735099,0.5159616291765426,E14S
exiting_hypoxia,CD8_exhausted,0.2716049382716049,0.2810699588477366,0.9663250366032211,0.9337748344370861,0.5159616291765426,E14S
exiting_hypoxia,cDC,0.25925925925925924,0.25637860082304526,1.0112359550561798,1.0,0.5159616291765426,E14S
exiting_hypoxia,mDC,0.24691358024691357,0.24847736625514405,0.9937065253395163,1.0,0.5159616291765426,E14S
exiting_hypoxia,entering_hypoxia,0.20987654320987653,0.1268312757201646,1.654769630110318,0.033112582781456956,0.5159616291765426,E14S
