source,target,obs_frac,exp_frac,enrichment,log2_enrichment,n_source,n_target,p_perm,sample,label_space
C1qcpos_TAM,entering_deep_hypoxia,0.019007949312135168,0.023255813953488372,0.8173418204218122,-0.2909885410029564,1141,201,0.0033222591362126247,E15S,hybrid_dynamics
C1qcpos_TAM,NK,0.021266609955706783,0.022908712252690037,0.9283197467028976,-0.10730628788596547,1141,198,0.029900332225913623,E15S,hybrid_dynamics
C1qcpos_TAM,reverted_stable,0.012671966208090111,0.013884068031933356,0.9126983661376903,-0.1317899461537026,1141,120,0.06976744186046512,E15S,hybrid_dynamics
C1qcpos_TAM,cDC,0.007509313308497844,0.007173435149832234,1.0468224987959172,0.06601683690447216,1141,62,0.4584717607973422,E15S,hybrid_dynamics
C1qcpos_TAM,B,0.005103986389369628,0.004512322110378341,1.1311219067518383,0.17775442427782726,1141,39,0.09302325581395349,E15S,hybrid_dynamics
C1qcpos_TAM,CD8_exhausted,0.003461324103135725,0.004049519842647229,0.8547492635257735,-0.2264268202917777,1141,35,0.07973421926910298,E15S,hybrid_dynamics
C1qcpos_TAM,mDC,0.004634654307588513,0.003933819275714451,1.1781563876613976,0.23653105421811096,1141,34,0.04318936877076412,E15S,hybrid_dynamics
C1qcpos_TAM,Hypoxic_Tumor,0.0036959901440262828,0.003702418141848895,0.9982638379630988,-0.0025069292087360542,1141,32,0.973421926910299,E15S,hybrid_dynamics
Stromal,Neutrophil,0.13638917640100548,0.1423116973273169,0.9583834566129189,-0.061325090004084,1133,1230,0.0033222591362126247,E15S,hybrid_dynamics
Stromal,C1qcpos_TAM,0.13186455714919415,0.13201434687029967,0.9988653527085758,-0.001637879404030794,1133,1141,0.920265780730897,E15S,hybrid_dynamics
Stromal,Resident_Macrophage,0.07978707674109123,0.08608122179798681,0.9268813229479186,-0.10954346558901762,1133,744,0.0033222591362126247,E15S,hybrid_dynamics
Stromal,Monocyte,0.07860416974715363,0.0824945042230707,0.9528412890948791,-0.06969216459696727,1133,713,0.013289036544850499,E15S,hybrid_dynamics
Stromal,Spp1pos_TAM,0.06003252994233328,0.05738748119865787,1.0460910409104567,0.0650084142564096,1133,496,0.05647840531561462,E15S,hybrid_dynamics
Stromal,exiting_hypoxia,0.05462073044506876,0.05310656022214509,1.0285119242630267,0.040558520139376636,1133,459,0.23255813953488372,E15S,hybrid_dynamics
