gene,lfc_exit_minus_enter,padj,frac_ex,frac_en
Micos13,0.3403734564781189,2.33317734955944e-28,0.9261477045908184,0.7773512476007678
Ifi27,0.35999977588653564,2.614471024271922e-28,0.9341317365269461,0.8080614203454894
Naxe,0.3195194900035858,2.8764103362941383e-28,0.8702594810379242,0.6026871401151631
Piezo1,-0.34852564334869385,2.9646400153404835e-28,0.846307385229541,0.9001919385796545
Cct5,0.3348960876464844,3.1499455758565636e-28,0.9580838323353293,0.8809980806142035
Atp5mpl,0.33604854345321655,3.5322404555515473e-28,0.9341317365269461,0.8023032629558541
Ddost,0.36293935775756836,3.6979480212736433e-28,0.9141716566866267,0.7024952015355086
Cacybp,0.3259230852127075,3.779128202022946e-28,0.9640718562874252,0.8829174664107485
Atp5g1,0.318469762802124,3.8480253239589173e-28,0.9560878243512974,0.8829174664107485
Bdp1,-0.27779293060302734,4.72803366808935e-28,0.8762475049900199,0.9424184261036468
Ndufa6,0.3409639596939087,5.356764115305261e-28,0.9281437125748503,0.7677543186180422
Rpl22,0.2598789930343628,5.609508256723062e-28,0.9800399201596807,0.9692898272552783
Arf5,0.3035683035850525,5.979781454462606e-28,0.9321357285429142,0.8234165067178503
Adprh,0.3301190137863159,6.510271409729059e-28,0.906187624750499,0.6737044145873321
Simc1,-0.3327105641365051,9.167316504917414e-28,0.7045908183632734,0.8234165067178503
Cox7a2l,0.36258113384246826,9.328910458312916e-28,0.9421157684630739,0.7927063339731286
Fkbp3,0.3726887106895447,9.487011171639973e-28,0.9281437125748503,0.7581573896353166
Tmbim6,0.2401822805404663,9.623936284487192e-28,0.9461077844311377,0.9078694817658349
Rps27l,0.31697583198547363,9.646784697752003e-28,0.9281437125748503,0.8483685220729367
Syngr2,0.3256836533546448,9.6788156702027e-28,0.9121756487025948,0.7581573896353166
Ndufa9,0.3103456199169159,1.1336643057249273e-27,0.8662674650698603,0.581573896353167
Atp5j2,0.30558764934539795,1.2407425326915281e-27,0.9600798403193613,0.8829174664107485
Gm56830,-0.3712593615055084,1.2618860646582008e-27,0.35728542914171657,0.6295585412667947
Eif3m,0.36884230375289917,1.264995283887258e-27,0.9261477045908184,0.783109404990403
Taldo1,0.33600032329559326,1.2995405191713367e-27,0.9181636726546906,0.7869481765834933
Txnl1,0.32230132818222046,1.4533582195359521e-27,0.9241516966067864,0.7927063339731286
Psma3,0.3047565221786499,1.4779238442068029e-27,0.9441117764471058,0.8771593090211133
Cox6b1,0.32002711296081543,1.6778301965178838e-27,0.9421157684630739,0.8502879078694817
Zbtb11,-0.36529234051704407,1.7389557664000224e-27,0.6866267465069861,0.781190019193858
Btg1,-0.30334264039993286,2.235219173454648e-27,0.9001996007984032,0.946257197696737
Dap3,0.3053455948829651,2.4453305878995936e-27,0.9341317365269461,0.8138195777351248
Uqcrc1,0.31413519382476807,2.4843531353558938e-27,0.9221556886227545,0.7658349328214972
Arf1,0.25331902503967285,2.886982971642103e-27,0.9481037924151696,0.8867562380038387
Itm2b,0.3360644578933716,2.9550721635683203e-27,0.9421157684630739,0.8579654510556622
Ube2m,0.3002961277961731,3.090859959786791e-27,0.9301397205588823,0.8157389635316699
Idh3g,0.3294824957847595,3.506578552585705e-27,0.8862275449101796,0.6257197696737045
Atp13a3,-0.2855304479598999,3.509373248768089e-27,0.8962075848303394,0.9251439539347409
Mrps16,0.34075498580932617,3.5328113444044246e-27,0.9161676646706587,0.7523992322456814
