gene,corr_v_hypoxia_residual
Ahctf1,0.17527061037553004
Flnc,0.1751896895587594
Golga4,0.1751542416437125
Gadd45b,0.17485419420736223
Srrm2,0.17484943141235282
Stard13,0.17470853367024386
Uspl1,0.17457892281613316
Cd63,-0.17445539897626391
Rlim,0.17444749672860713
Dido1,0.1744220029248457
Glis3,0.17380869873623508
Pds5a,0.17360941936132154
mt-Nd1,0.17304288181462246
Hivep2,0.17304004131474107
Cenpe,0.17299722944577337
Lncenc1,0.1724424432732806
Mki67,0.172428786435854
Trrap,0.17239819775428772
Cspp1,0.17187714716507932
Ldlr,0.17158072657475362
Lars2,0.1709383945893973
Usp24,0.17026475425022683
Tcf20,0.17023989821840613
Prpf38b,0.17019065849467382
Hexim1,0.1698596473067718
Ndufb9,-0.1698489603869954
Huwe1,0.16984421321299562
Brd4,0.16982768150703698
Tulp4,0.1697693629239771
Ankrd28,0.16975839287109318
Rhob,0.1696590160131551
Ier2,0.16947636199131166
Zfc3h1,0.1693654005044815
Creb5,0.16929868818951774
Rps7,-0.16907260811150598
Runx1,0.1688350656975517
Cd44,0.16861480133318252
Rif1,0.16856305687138579
Zfp292,0.16800234755929375
Slc25a28,0.16797049405789843
Tut7,0.16791047158525363
Cdk4,-0.16782419958995157
Ankrd12,0.16770176661509884
Itm2b,-0.16763122838037428
Rpl5,-0.16758328500507025
Gsk3b,0.16743669103496764
Rsrc2,0.16675735309624262
Spaca6,0.16671656739425994
Ythdc1,0.16657028978648072
Btbd9,0.16627666907298863
Aars,0.16623281839168502
Khsrp,0.16618749694251017
Ndufb5,-0.16600335156452764
Wdr26,0.16559871513008714
Phlda1,0.16559431404699365
Twist2,0.1650341929524415
Pnisr,0.1648535656771318
Rev3l,0.164762564206367
Ppp1ca,-0.16448719941942808
Cdk11b,0.16437646162974764
Nfat5,0.16430350558598908
Ankrd1,0.16424981563371951
Kdm2a,0.1640134988729615
Rplp0,-0.1636317349739319
Qki,0.16358457128859175
Ewsr1,0.16345361110394202
Stx16,0.16340539497632056
Snd1,0.1633637410755086
Rpl10,-0.16306972161665054
Rab31,0.16305821767978576
Nup98,0.16291481892925183
Zc3h7a,0.1627753417109694
Ankhd1,0.16270857528835433
Bag3,0.16249070417171718
Gm49504,0.1624565136633532
Akr1a1,-0.16240598279885296
Apbb2,0.16234133555627642
Mid1,0.16233094728421316
Psmb5,-0.16229818667820617
Cyth3,0.1622650744108805
Stk24,0.16216546837205123
Safb2,0.16192419438043143
Pdlim5,0.16179775263352422
Slc1a5,0.1616936873892171
Kmt2a,0.1616821401617916
mt-Nd3,0.16153114602677715
Gm45589,0.1614568674953441
Ambra1,0.16132751953291385
Uqcrb,-0.16126356589425028
Dcn,-0.1611499757874617
Pdia6,-0.16108734172657008
Ttc14,0.16107492099796816
Birc6,0.1607455995558656
Ltbp1,0.16042257419025108
Ssr4,-0.16011078914313306
Pvt1,0.15997776332296143
Azin1,0.15989288774771235
Slc7a5,0.15963160393777126
Rps2,-0.15905159105140543
Cabin1,0.15873081331237998
Psme2,-0.15867374738189732
Atxn2,0.15839720116534656
Fam133b,0.15828490165046086
Prrc2a,0.1582153383558532
Prdx2,-0.15820479148047767
Rlf,0.15814076658905915
Nfkbia,0.1581286240936634
Xpo1,0.1577692000919102
Myl12a,-0.15774784068277878
Prdx1,-0.1576272793820961
Cbx7,0.15725207297661048
Plec,0.1571591635016733
Syne1,0.1571184740792526
Rc3h1,0.15690797150091002
Fndc3b,0.1569013168502702
Slc7a1,0.15680416801708139
Rbfox2,0.15679756670207262
Zfp148,0.15676655950125187
Ascc3,0.1567231537482042
Rpl9,-0.15658867344037272
Nmt2,0.15658266527184633
Nup153,0.15655814646528474
Paxbp1,0.15648117627938546
Dnajb4,0.15618531695327822
Rps10,-0.15612396688696664
Usp34,0.15608749079532705
Ndufa7,-0.15588168473309927
Fbxw11,0.155669073555547
Mast2,0.1556336723435637
